,Crack_Spread,Crack_Z_Score,Basket_Return,SPY_Return,Rolling_Beta,Beta_Hedged_Return,VLO_Hedged_Return,MPC_Hedged_Return,PSX_Hedged_Return,DINO_Hedged_Return,PBF_Hedged_Return,DK_Hedged_Return,CVI_Hedged_Return
2016-11-28,12.58039927482605,-0.6675795574833315,-0.017048385010307976,-0.004694914802648387,1.579274622224489,-0.009633825208979284,-0.010090830961092626,-0.014378492558876499,-0.003567613804139235,-0.005149414268109955,0.0036437006471018874,-0.008904530882522492,-0.03693215878740337
2016-11-29,12.667999505996704,-0.6354331210589205,-0.014491468700336567,0.0019501356773876655,1.5707433038867022,-0.0175546312572638,-0.0029647218734703018,-0.026651033174146407,-0.022620265959930577,-0.01025509381396923,0.0015469578792326388,-0.029910719092476036,-0.04103857126635776
2016-11-30,12.788201332092285,-0.5888049479898573,0.0054559895843934334,-0.0023990053434622682,1.5614273006434634,0.009201862022064968,-0.031324764697473945,0.027351556055196652,0.011311560603919506,0.0483098507651209,-0.04336191699823734,0.056010352211367694,0.03807734388971615
2016-12-01,14.693796634674072,0.14644090649672248,0.011824160678116914,-0.003675688530126786,1.5410813294540764,0.0174886956447838,-0.011558017852232174,0.02246209918562109,0.0272415027944143,0.01699214841576142,0.02759652465805326,0.05926335001092567,0.03820182075615817
2016-12-02,14.553598642349243,0.08971838946769685,0.0021921083478444125,0.0005007682359587928,1.5521533778422176,0.0014148392388848834,0.014657280101740586,0.0002780372306357094,-0.0017752456023674425,0.0037028880246729487,-0.015358722141350301,0.0028124580199728596,-0.03236308580031505
2016-12-05,14.452202081680298,0.04686693241436146,0.02960046081720329,0.006009124391205489,1.739537357951634,0.019147364450122974,0.04010890540980437,-0.008329107024748353,-0.0005656327720781227,0.0521016252972275,0.044897532039180246,0.011838542241948654,0.06593713606198601
2016-12-06,14.430001020431519,0.03851440455172037,-0.0007913986283540836,0.00316752717137736,1.7627740071456452,-0.0063750331929856635,-0.002141067456061587,-0.022968236888558684,-0.010047122067844041,-0.004932198002312525,0.040431673883114465,0.0010969330392487679,0.016617257284870103
2016-12-07,14.346596717834473,0.005152811170091222,0.049336073902977264,0.013080513174692943,1.9908177039619255,0.023295156697891343,0.019206015549723753,0.020734662508676716,0.008585955733197502,0.032036113445067335,0.02955145220170078,0.02885549107921727,0.1007907948287842
2016-12-08,13.484001159667969,-0.3298180247200616,0.02429484404278147,0.0024487955721901322,1.9884200690204594,0.01942560978211017,0.00774278659011609,0.0025678253260356908,0.004104549828233378,0.027397627817037324,0.06158748782424337,0.03646229102988958,0.16359135243207007
2016-12-09,13.200000762939453,-0.43927850459735435,-0.014154893023060866,0.006040393199979954,1.8593437091257412,-0.0253860601200895,-0.01609770199499122,-0.02544801139990415,-0.012218051478110625,-0.04197699064335839,-0.06315679165877237,-0.02032334935350233,-0.0714682557377686
